category,category_inch,frame_size,weight (lbs),engine,engine_position,engine_power,mph,battery_type,battery_chara_Wh,battery_chara_Ah,battery_chara_V,battery_position,Gearshift,Gears,Gearshift_Brand,Brakes_Type,Brakes_Model,Suspension_front_rear,Suspension_brand,Suspension_model,Permissible_max_weight_lbs,Lighting,Rack,Fenders,Company_Name,Price,Model_year,Frame_type,ebike_type
,28,,,BoschActiveLinePlus,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,hub,8,ShimanoAlfine,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,No/No,RockShox,Paragon,243,Yes,No,Yes,HNF Heisenberg,3951,2018,male,Pedelec
City/Urban,-,"S,M,L,XL",55,BoschPerformanceLine,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,hub,,NuvinciN330,"['Hydraulische', 'Scheibenbremsen']","MaguraMT4VR180mm,HR160mm",Yes/No,RockShox,Paragon,276,Yes,No,Yes,HNF Heisenberg,3682,2017,unisex,Pedelec
,-,,,broseDriveT,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,Yes/No,,,496,Yes,Yes,Yes,Johansson,5172,2021,unisex,Pedelec
CargoBike,20,,86,broseDriveS,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,Yes/No,,,496,Yes,Yes,Yes,Johansson,5392,2021,unisex,Pedelec
,20,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,Yes/No,,,507,Yes,Yes,Yes,Johansson,5667,2021,unisex,Pedelec
CargoBike,20,,99,broseDriveT,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,Yes/No,,,507,Yes,Yes,Yes,Johansson,5447,2021,unisex,Pedelec
CargoBike,20,,86,broseDriveC,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,Yes/No,,,496,Yes,Yes,Yes,Johansson,4952,2021,unisex,Pedelec
,20,,,broseDriveC,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT530Hydraulisch–Scheiben180mm,Yes/No,,,452,Yes,Yes,Yes,Johansson,4512,2021,unisex,Pedelec
CargoBike,20,,99,broseDriveT,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT530Hydraulisch–Scheiben180mm,Yes/No,,,452,Yes,Yes,Yes,Johansson,4732,2021,unisex,Pedelec
,20,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT530Hydraulisch–Scheiben180mm,Yes/No,,,452,Yes,Yes,Yes,Johansson,4952,2021,unisex,Pedelec
,20,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,15,36,underpipe,derailleur,,ShimanoAcera,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,No/No,,,496,Yes,Yes,Yes,Johansson,3631,2021,unisex,Pedelec
